,Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
0,01-01-2021,Airport,Arrival,341,0,9,350
2,01-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
4,01-01-2021,Hung Hom,Arrival,0,0,0,0
6,01-01-2021,Lo Wu,Arrival,0,0,0,0
8,01-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
10,01-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
12,01-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,45,2,0,47
14,01-01-2021,Lok Ma Chau,Arrival,0,0,0,0
16,01-01-2021,Man Kam To,Arrival,0,0,0,0
18,01-01-2021,Sha Tau Kok,Arrival,0,0,0,0
20,01-01-2021,Shenzhen Bay,Arrival,346,43,1,390
22,01-01-2021,China Ferry Terminal,Arrival,0,0,0,0
24,01-01-2021,Harbour Control,Arrival,0,0,0,0
26,01-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
28,01-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
30,01-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
32,02-01-2021,Airport,Arrival,363,10,10,383
34,02-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
36,02-01-2021,Hung Hom,Arrival,0,0,0,0
38,02-01-2021,Lo Wu,Arrival,0,0,0,0
40,02-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
42,02-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
44,02-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,37,1,0,38
46,02-01-2021,Lok Ma Chau,Arrival,0,0,0,0
48,02-01-2021,Man Kam To,Arrival,0,0,0,0
50,02-01-2021,Sha Tau Kok,Arrival,0,0,0,0
52,02-01-2021,Shenzhen Bay,Arrival,542,67,2,611
54,02-01-2021,China Ferry Terminal,Arrival,0,0,0,0
56,02-01-2021,Harbour Control,Arrival,0,0,0,0
58,02-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
