name,address,district,total_rooms,hourly_rate
歌朗妮酒店,九龍塘金巴倫道30-32號,九龍塘,18,400
海麗賓館,九龍長沙灣青山道524-526號1字樓A&B室,深水埗,17,100
泰好住,深水埗順寧道483號順景華庭1字樓A室,深水埗,21,200
亞洲賓館,英皇道390-394號亞洲大廈6字樓A&B室,北角,19,140
中港酒店,北角七姊妹道25-31號1字樓,北角,10,280
雅悉酒店,香港九龍雅息士道18-20號,九龍塘,18,462
維記 - 尖沙咀,尖沙咀金巴利道80號2樓,尖沙咀,27,330
百佳酒店,灣仔軒尼詩道275-285,灣仔,30,220
百佳酒店,尖沙咀金巴利道27-33號27號,尖沙咀,18,220
百佳酒店,旺角登打士街2-8號,旺角,26,220
豪景賓館,九龍深水福榮街45號1字樓A及B室,深水埗,17,70
金源賓館,九龍深水埗福華街77號1字樓,深水埗,12,100
怡達賓館,九龍深水埗大南街270號1字樓,深水埗,13,130
好運賓館,九龍深水埗桂林街119號2樓,深水埗,26,100
海洋賓館,九龍長沙灣青山道250號1字樓前座,深水埗,24,120
金屋酒店,九龍塘施他佛道23號,九龍塘,17,340
禮尚酒店,九龍塘雅息士道3號,九龍塘,14,360
明珠時鐘酒店,荃灣川龍街74號貴生樓1字樓,荃灣,20,120
環球時鐘酒店,荃灣沙咀道207-211號華成樓A座1字樓B室,荃灣,22,120
銀都酒店,荃灣禾笛街23-25號1/F,荃灣,11,120
康樂賓館,新界荃灣大河道85號寶成樓1字樓8座,荃灣,21,120
麗豪小築,荃灣荃灣街巿街31號1字樓E室,荃灣,12,120
維記 - 歌頓道,銅鑼灣歌頓道9號,銅鑼灣,13,330
維記 - 旺角,旺角砵蘭街194-196號維多利亞大廈4F-23F,旺角,19,330
異國風酒店,九龍塘羅福道9號1字樓,九龍塘,25,418
維記 - 天后,銅鑼灣英皇道14號,天后,10,330
桃源賓館,荃灣楊屋道57號,荃灣,20,120
金太陽賓館,新界荃灣川龍街101號1字樓,荃灣,11,120
翠華酒店,新界荃灣大河道85A號寶成樓1字樓,荃灣,15,120
龍濤閣賓館,九龍觀塘牛頭角道357-375號仁安大廈1字樓Q室,觀塘,14,130
新一代小築,九龍牛頭角牛頭角道305-325A號官塘立成大廈2字,觀塘,20,140
黃金酒店,九龍深水欽州街98號1字樓,深水埗,12,100
好景賓館,九龍深水埗汝洲街179號及南昌街106-110號1字樓,深水埗,16,130
富麗小築,元朗同樂街10-16號金華樓1字樓C&D室,元朗,24,120
玫瑰園小築,葵涌石蔭路79號金祿樓1字樓,葵涌,19,120
荷李活酒店,荃灣沙咀道243-245號2樓,荃灣,26,120
京都酒店,荃灣區沙咀道232號,荃灣,30,140
香港住宿2,尖沙咀金馬倫道34-36A號福僑大廈5樓C室,尖沙咀,18,200
oneroom,尖沙咀漆咸道南29-31號溫莎大廈5樓A&B室,尖沙咀,19,218
BoBInn 小熊酒店,旺角彌敦道607號新興大廈16樓1603室,旺角,19,200
香港怡家酒店,九龍旺角彌敦道731-733號振宜大廈10樓A-D室。,旺角,15,100
銀宮酒店,新界元朗擊壤路12號福業樓2字樓,元朗,24,200
新漢宮酒店,元朗元朗安寧路100-108號安利大樓1字樓B&C室,元朗,21,160
新明苑賓館,新界元朗大棠路61-65號好景樓1字樓,元朗,18,120
樂宮別墅,新界元朗康樂路19號鈞德樓1字樓P座,元朗,24,120
新港酒店,元朗東成里路1號,元朗,14,388
錦田賓館,新界元朗錦田錦田巿6號地下,元朗,12,180
金葉別墅,九龍油麻地寧波街23-25號1字樓,佐敦,22,130
富麗別墅,九龍油麻地寧波街31號1字樓,佐敦,14,120
華恩酒店,九龍旺角水渠道34-36號東樂大樓1字樓,旺角,30,160
綠恩酒店,九龍旺角通菜街201&203號1字樓,旺角,21,150
華廈別墅,九龍旺角染布房街17-18號1字樓,旺角,26,150
金鳳凰賓館,九龍旺角西洋菜南街214-216號1字樓,旺角,21,150
