name,address,district,phone,profile_pic,description,user_id,google_map_address
歌朗妮酒店,九龍塘金巴倫道30-32號,九龍塘,23367074,https://iopenroom.com//web/upload/1633414510_0920d874e63c2784091100b0dc1843cb.jpg,歌朗妮酒店 ( Corinne Hotel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.549845987223!2d114.17503247495571!3d22.33285817966316!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404073258811a4b%3A0x321e40c47e94c7e6!2z5q2M5pyX5aau6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686130597362!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
海麗賓館,九龍長沙灣青山道524-526號1字樓A&B室,深水埗,23712694,https://iopenroom.com//web/upload/1633418202_6b1a734ffdfde8bcb4db2a8ef781a7a6.jpg,海麗賓館 ( Hoi Lai Guest House ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.3710581472487!2d114.14890207495604!3d22.33961397965836!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34040753dfb7606d%3A0xfb5437677a0f8b9e!2z5rW36bqX6LOT6aSo!5e0!3m2!1szh-TW!2shk!4v1686130629184!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
泰好住,深水埗順寧道483號順景華庭1字樓A室,深水埗,2742 0111,https://iopenroom.com//web/upload/1633419251_60d041125dc1a3ad8ce762ecdbc8cb70.jpg,泰好住 ( THE COMFORT LIVING INN ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14761.452828430309!2d114.1360746871582!3d22.339910599999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404078a74564791%3A0x4cd4a9aa6b5904a0!2z5rOw5aW95L2P!5e0!3m2!1szh-TW!2shk!4v1686130691148!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
亞洲賓館,英皇道390-394號亞洲大廈6字樓A&B室,北角,2570 4381,https://iopenroom.com//web/upload/1633423002_e96c52b2d1fb673336eead5e6aae83d0.jpg,亞洲旅館位於香港的中心地帶，距離港鐵尖沙咀站僅有幾步之遙，提供實惠的住宿和免費WiFi。 旅館距離各種購物中心均有不到10分鐘的步行路程，包括國際廣場、K11購物中心和海港城。每間客房都為客人提供電視、空調和電熱水壺，設有帶吹風機和拖鞋的私人連接浴室。其他設施包括壁爐和風扇。 亞洲旅館設有24小時前台，提供行李寄存和外幣兑換服務，可應要求提供訂票服務。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d59045.81365703273!2d114.10517458022959!3d22.339905066739504!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404010489cc0931%3A0xa7861ecc2e4bfae2!2z5Lqe5rSy6LOT6aSo!5e0!3m2!1szh-TW!2shk!4v1686130733588!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
中港酒店,北角七姊妹道25-31號1字樓,北角,25614618,https://iopenroom.com//web/upload/1633423512_53293415bfb444892d3d08fc39282859.jpg,香港中港酒店位置於港島區，交通四通八達，極為理想及方便（鄰近北角港鐵站B4出口及電車站）。着名食市林立，有大型購物熱點，逛街首選。另外，附近還有新光戲院，是香港現時碩果僅存的大型影院，極有特色。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14765.964067863528!2d114.17575834710263!3d22.297262425016974!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404010513d78d05%3A0x7cead692664dd475!2z5Lit5riv6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686130763250!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
雅悉酒店,香港九龍雅息士道18-20號,九龍塘,23381233,https://iopenroom.com//web/upload/1633493508_844ec1ed4b98739618df2af5413291e0.webp,"香港雅悉酒店位置方便優越，坐落九龍塘傳統豪宅地段，香港九龍的中部,低密度住宅區，區內以平房及別墅為主，為賓客提供一個集寧靜、優雅、舒適的客房服
務。位置交通便利，臨近香港浸會大學，來往港鐵九龍塘站約2分鐘步程，可輕鬆前往香港各主要景點，比鄰區內地標[又一城商場Festival Walk]名店購物、吃喝
玩樂、應有盡有！是商務旅客和觀光遊客的理想居亭。",1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.6256032266647!2d114.17500207495573!3d22.329994979665244!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34040732b67bcafb%3A0x36d6402c69f81872!2z6ZuF5oKJ6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686130781820!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
維記 - 尖沙咀,尖沙咀金巴利道80號2樓,尖沙咀,2736 3688,https://iopenroom.com//web/upload/1631849913_3a9be6c617565ff54c2fd8f6a3eee31a.jpg,本地時鐘酒店品牌，尖沙咀位置非常就腳，睇完戲食飯飲野催情爆房一條龍。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3691.3643425872133!2d114.17312927495495!3d22.302056479685355!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400eecc18e455%3A0xa047c2968df15c25!2z57at5aSa5Yip5Lqe6YWS5bqXICjlsJbmspnlkoAp!5e0!3m2!1szh-TW!2shk!4v1686130804576!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
百佳酒店,灣仔軒尼詩道275-285,灣仔,2587 9988,https://iopenroom.com//web/upload/1632805616_5d81b7984e2f2b251e3b122f5ef712db.jpg,本地時鐘酒店品牌，香港人一定認識的爆房本土品牌，灣仔呢間要搭Lift上樓，然後有阿姐帶進房，房間比較細但勝在冷氣夠，而床單枕頭以至浴室都乾淨，還有送兩支水，但上去的朋友記得買袋，阿姐及櫃臺員工很有禮的。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14767.97031059954!2d114.15811958715821!3d22.278270999999997!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404005a4920666d%3A0x116f5b2963079b85!2z55m-5L2z6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686130833194!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
百佳酒店,尖沙咀金巴利道27-33號27號,尖沙咀,2367 7005,https://iopenroom.com//web/upload/1632731734_c6d181ed8093fda89bf47d19f9485db5.jpg,本地時鐘酒店品牌，香港人一定認識的爆房本土品牌，尖沙咀呢間要搭Lift上樓，然後有阿姐帶進房，房間比較細但勝在冷氣夠，而床單枕頭以至浴室都乾淨，還有送兩支水，但上去的朋友記得買袋，阿姐及櫃臺員工很有禮的。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14765.590963485332!2d114.15450868715823!3d22.3007926!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400ec279227c1%3A0x3b49c896b1dfe48e!2z55m-5L2z6YWS5bqXIC0g5bCW5rKZ5ZKA!5e0!3m2!1szh-TW!2shk!4v1686130853060!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
百佳酒店,旺角登打士街2-8號,旺角,2770 1028,https://iopenroom.com//web/upload/1632734487_ef78392c7fa840992e6375255926aea7.jpg,本地時鐘酒店品牌，香港人一定認識的爆房本土品牌，尖沙咀呢間要搭Lift上樓，然後有阿姐帶進房，房間比較細但勝在冷氣夠，而床單枕頭以至浴室都乾淨，還有送兩支水，但上去的朋友記得買袋，阿姐及櫃臺員工很有禮的。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14764.127450430255!2d114.14807368715819!3d22.3146347!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400bf54f9276d%3A0xf8307e57fe05fc!2z55m-5L2z6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686130865992!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
