name,address,district,phone,profile_pic,description,user_id,google_map_address
歌朗妮酒店,九龍塘金巴倫道30-32號,九龍塘,23367074,https://iopenroom.com//web/upload/1633414510_0920d874e63c2784091100b0dc1843cb.jpg,歌朗妮酒店 ( Corinne Hotel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d230.70874426031202!2d114.1719279!3d22.3029811!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400ec7514b4ad%3A0x656f97e130228642!2s182%20Nathan%20Rd%2C%20Tsim%20Sha%20Tsui!5e0!3m2!1sen!2shk!4v1686017624813!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
海麗賓館,九龍長沙灣青山道524-526號1字樓A&B室,深水埗,23712694,https://iopenroom.com//web/upload/1633418202_6b1a734ffdfde8bcb4db2a8ef781a7a6.jpg,海麗賓館 ( Hoi Lai Guest House ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3686.0137575942335!2d114.127437!3d22.503667!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3403f61195d7c8cf%3A0x34a012810edb2ef4!2z5LiK5rC06LOT6aSo!5e0!3m2!1szh-TW!2shk!4v1686017178088!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
泰好住,深水埗順寧道483號順景華庭1字樓A室,深水埗,2742 0111,https://iopenroom.com//web/upload/1633419251_60d041125dc1a3ad8ce762ecdbc8cb70.jpg,泰好住 ( THE COMFORT LIVING INN ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3687.5196529887667!2d114.1690196!3d22.447098399999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34040840954b0c01%3A0x6c534b1038ee0ff8!2z5aSn5Z-U6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686017336162!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
亞洲賓館,英皇道390-394號亞洲大廈6字樓A&B室,北角,2570 4381,https://iopenroom.com//web/upload/1633423002_e96c52b2d1fb673336eead5e6aae83d0.jpg,亞洲旅館位於香港的中心地帶，距離港鐵尖沙咀站僅有幾步之遙，提供實惠的住宿和免費WiFi。 旅館距離各種購物中心均有不到10分鐘的步行路程，包括國際廣場、K11購物中心和海港城。每間客房都為客人提供電視、空調和電熱水壺，設有帶吹風機和拖鞋的私人連接浴室。其他設施包括壁爐和風扇。 亞洲旅館設有24小時前台，提供行李寄存和外幣兑換服務，可應要求提供訂票服務。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3687.4564213440617!2d114.1656883!3d22.4494764!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340409285bd3369d%3A0xb8707497c26fe2ab!2z5aSn5Z-U6LOT6aSo!5e0!3m2!1sen!2shk!4v1686017190423!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
中港酒店,北角七姊妹道25-31號1字樓,北角,25614618,https://iopenroom.com//web/upload/1633423512_53293415bfb444892d3d08fc39282859.jpg,香港中港酒店位置於港島區，交通四通八達，極為理想及方便（鄰近北角港鐵站B4出口及電車站）。着名食市林立，有大型購物熱點，逛街首選。另外，附近還有新光戲院，是香港現時碩果僅存的大型影院，極有特色。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3691.016053893516!2d114.17047939999999!3d22.3152326!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404010600748c67%3A0x29d6a670dfa98dfe!2z5bCP54aK6YWS5bqX!5e0!3m2!1sen!2shk!4v1686017199190!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
雅悉酒店,香港九龍雅息士道18-20號,九龍塘,23381233,https://iopenroom.com//web/upload/1633493508_844ec1ed4b98739618df2af5413291e0.webp,"香港雅悉酒店位置方便優越，坐落九龍塘傳統豪宅地段，香港九龍的中部,低密度住宅區，區內以平房及別墅為主，為賓客提供一個集寧靜、優雅、舒適的客房服
務。位置交通便利，臨近香港浸會大學，來往港鐵九龍塘站約2分鐘步程，可輕鬆前往香港各主要景點，比鄰區內地標[又一城商場Festival Walk]名店購物、吃喝
玩樂、應有盡有！是商務旅客和觀光遊客的理想居亭。",1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3691.6580838436776!2d114.2015339!3d22.2909382!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404010513d78d05%3A0x7cead692664dd475!2sChina%20(hk)%20Hotel!5e0!3m2!1sen!2shk!4v1685970348411!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
維記 - 尖沙咀,尖沙咀金巴利道80號2樓,尖沙咀,2736 3688,https://iopenroom.com//web/upload/1631849913_3a9be6c617565ff54c2fd8f6a3eee31a.jpg,本地時鐘酒店品牌，尖沙咀位置非常就腳，睇完戲食飯飲野催情爆房一條龍。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d230.7076022685611!2d114.1705139!3d22.3036725!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400eb7f34577f%3A0xad6790a5b565836b!2sChina%20(h.k.)%20Hotel!5e0!3m2!1sen!2shk!4v1686017424520!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
百佳酒店,灣仔軒尼詩道275-285,灣仔,2587 9988,https://iopenroom.com//web/upload/1632805616_5d81b7984e2f2b251e3b122f5ef712db.jpg,本地時鐘酒店品牌，香港人一定認識的爆房本土品牌，灣仔呢間要搭Lift上樓，然後有阿姐帶進房，房間比較細但勝在冷氣夠，而床單枕頭以至浴室都乾淨，還有送兩支水，但上去的朋友記得買袋，阿姐及櫃臺員工很有禮的。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d922.6983338613381!2d114.1704329!3d22.3236544!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400c9a65b6c17%3A0x2510e070fd958458!2sFa%20Yuen%20Tower%2C%20216-218%20Fa%20Yuen%20St%2C%20Mong%20Kok!5e0!3m2!1sen!2shk!4v1686017656240!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
百佳酒店,尖沙咀金巴利道27-33號27號,尖沙咀,2367 7005,https://iopenroom.com//web/upload/1632731734_c6d181ed8093fda89bf47d19f9485db5.jpg,本地時鐘酒店品牌，香港人一定認識的爆房本土品牌，尖沙咀呢間要搭Lift上樓，然後有阿姐帶進房，房間比較細但勝在冷氣夠，而床單枕頭以至浴室都乾淨，還有送兩支水，但上去的朋友記得買袋，阿姐及櫃臺員工很有禮的。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14758.367937295434!2d114.11619!3d22.36903!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3403f8ec680b78d9%3A0x15874bb3bf15bfcc!2sParis%20Apartment!5e0!3m2!1sen!2shk!4v1686017360597!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
百佳酒店,旺角登打士街2-8號,旺角,2770 1028,https://iopenroom.com//web/upload/1632734487_ef78392c7fa840992e6375255926aea7.jpg,本地時鐘酒店品牌，香港人一定認識的爆房本土品牌，尖沙咀呢間要搭Lift上樓，然後有阿姐帶進房，房間比較細但勝在冷氣夠，而床單枕頭以至浴室都乾淨，還有送兩支水，但上去的朋友記得買袋，阿姐及櫃臺員工很有禮的。,1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.4739043324935!2d114.194694!3d22.335728!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340406d701d774c9%3A0xfb6932f6334b48b1!2sSum%20Sum%20Apartment!5e0!3m2!1sen!2shk!4v1686017012589!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
